exec_index,uuid,spec,case_name,category,test_steps,report_dir,start_time,end_time,duration_seconds,status,return_code,reason
1,278b048d,,首次启动展示引导页,WhatCanICookHarmony,"动作：打开应用。
预期结果：展示 Onboarding 首屏，包含 Skip、Next、页码指示器、标题 Cook with what you have，以及说明 Tell com.example.whaticancookharmony the ingredients in your kitchen and skip the extra grocery run。",/Users/bb/work/hometrans/whaticantook/output/whaticancook_pipeline/task/task_20260626_055448/278b048d_首次启动展示引导页,2026-06-26 05:54:59,2026-06-26 05:55:41,41.63,FAIL,0,HTML报告显示失败
2,127ce5f6,,引导页 Next 切换到下一页,WhatCanICookHarmony,"动作：点击 Next。
预期结果：页码指示器切换到第二页，页面标题变为 Instant recipe matches。",/Users/bb/work/hometrans/whaticantook/output/whaticancook_pipeline/task/task_20260626_055448/127ce5f6_引导页 Next 切换到下一页,2026-06-26 05:55:41,2026-06-26 05:57:02,81.01,PASS,0,HTML报告显示通过
3,b9411aa4,,跳过引导进入首页,WhatCanICookHarmony,"动作：点击 Skip。
预期结果：进入 Discover 首页，显示 What can I cook?、搜索入口、Your pantry、Browse recipes 和底部导航。",/Users/bb/work/hometrans/whaticantook/output/whaticancook_pipeline/task/task_20260626_055448/b9411aa4_跳过引导进入首页,2026-06-26 05:57:02,2026-06-26 05:59:12,129.85,FAIL,0,HTML报告显示失败
4,6177cb06,,引导完成后重启不再出现,WhatCanICookHarmony,"动作：关闭并重新打开应用。
预期结果：直接进入 Discover 首页，不再展示 Onboarding。",/Users/bb/work/hometrans/whaticantook/output/whaticancook_pipeline/task/task_20260626_055448/6177cb06_引导完成后重启不再出现,2026-06-26 05:59:12,2026-06-26 06:02:12,179.74,PASS,0,HTML报告显示通过
5,89ae99d9,,首页离线展示菜谱数据,WhatCanICookHarmony,"动作：打开 Discover 首页。
预期结果：菜谱列表正常显示，至少能看到 5-Minute Mug Cake、Banana Oat Pancakes 或 Chicken Fried Rice 中的一个。",/Users/bb/work/hometrans/whaticantook/output/whaticancook_pipeline/task/task_20260626_055448/89ae99d9_首页离线展示菜谱数据,2026-06-26 06:02:12,2026-06-26 06:07:15,303.46,FAIL,0,HTML报告显示失败
6,eb3baf55,,空 pantry 首页提示,WhatCanICookHarmony,"动作：进入 Discover 首页。
预期结果：Your pantry 显示 Add what you have at home；页面显示 Tell us what's in your kitchen 提示；不显示 Ready to cook 区域。",/Users/bb/work/hometrans/whaticantook/output/whaticancook_pipeline/task/task_20260626_055448/eb3baf55_空 pantry 首页提示,2026-06-26 06:07:15,2026-06-26 06:12:18,302.53,FAIL,0,HTML报告显示失败
7,6c00d122,,首页进入 Pantry,WhatCanICookHarmony,"动作：点击 Your pantry 卡片。
预期结果：进入 My pantry 页面，底部导航 Pantry 高亮。",/Users/bb/work/hometrans/whaticantook/output/whaticancook_pipeline/task/task_20260626_055448/6c00d122_首页进入 Pantry,2026-06-26 06:12:18,2026-06-26 06:14:31,132.91,FAIL,0,HTML报告显示失败
8,33d0acca,,首页进入 Search,WhatCanICookHarmony,"动作：点击搜索框 Search recipes, ingredients...
预期结果：进入 Search 页面，显示搜索输入框、分类筛选、Cookable、Best match、Quickest、Fewest missing。",/Users/bb/work/hometrans/whaticantook/output/whaticancook_pipeline/task/task_20260626_055448/33d0acca_首页进入 Search,2026-06-26 06:14:31,2026-06-26 06:18:46,255.0,FAIL,0,HTML报告显示失败
9,808a2abe,,首页进入 Settings,WhatCanICookHarmony,"动作：点击右上角设置按钮。
预期结果：进入 Settings 页面，显示 Appearance、Data、About；底部导航不显示。",/Users/bb/work/hometrans/whaticantook/output/whaticancook_pipeline/task/task_20260626_055448/808a2abe_首页进入 Settings,2026-06-26 06:18:46,2026-06-26 06:20:17,91.18,FAIL,0,HTML报告显示失败
10,e0ac5323,,首页分类筛选 Dinner,WhatCanICookHarmony,"动作：点击 Browse recipes 中的 Dinner 分类。
预期结果：菜谱列表展示晚餐类菜谱，可看到 Chicken Fried Rice；非 Dinner 菜谱不应出现在当前筛选结果中。",/Users/bb/work/hometrans/whaticantook/output/whaticancook_pipeline/task/task_20260626_055448/e0ac5323_首页分类筛选 Dinner,2026-06-26 06:20:17,2026-06-26 06:29:04,527.33,FAIL,0,HTML报告显示失败
